Day,Phase,Exercise,Sets,Reps,Rest_Seconds,Tempo,Notes_Substitutes,Equipment
Wednesday,Pre-Workout Stretch,Thread the Needle (Thoracic Rotation),2,8 each side,0,Smooth,Upper back and shoulder mobility,Mat
Wednesday,Pre-Workout Stretch,Band Pull-Aparts,2,15 reps,0,Controlled,Scapular retraction and rear delt warmup,Resistance Band
Wednesday,Pre-Workout Stretch,Scapular Shrugs (Hanging or Supported),2,10 reps,0,Controlled,Lat and scapular activation,Pull-up Bar
Wednesday,Pre-Workout Stretch,Doorway Chest Stretch,2,30 sec each side,0,Hold,Open chest before pulling movements,Doorway
Wednesday,Pre-Workout Stretch,Wrist Circles + Forearm Stretch,2,10 each direction,0,Smooth,Grip prep for rowing and pulling,Bodyweight
Wednesday,Main Workout,Lat Pulldown (Wide Grip),4,8-10,90,3011,"Primary vertical pull. SUB: Assisted Pull-Up Machine or Cable Pulldown neutral",Machine
Wednesday,Main Workout,Seated Cable Row (Neutral Grip),4,10-12,90,3011,"Horizontal pull for mid-back. SUB: Chest-Supported Row Machine",Cable/Machine
Wednesday,Main Workout,Single-Arm Dumbbell Row,3,10-12 each,60,3011,"Unilateral back strength. SUB: Single-Arm Cable Row",Dumbbells
Wednesday,Main Workout,Face Pulls (Rope Attachment),3,15-20,60,2021,"Rear delt and upper back health - crucial for posture. SUB: Reverse Fly Machine",Cable
Wednesday,Main Workout,EZ-Bar or Cable Bicep Curl,3,10-12,60,3010,"Bicep development. SUB: Dumbbell Hammer Curl",Cable/Barbell
Wednesday,Main Workout,Cable Hammer Curl (Rope),3,12-15,60,2010,"Brachialis and forearm focus. SUB: DB Hammer Curl",Cable
Wednesday,Main Workout,Pallof Press (Isometric Hold),3,20-30 sec each,45,Hold,"Anti-rotation core endurance - hold cable extended. SUB: Band Pallof Hold",Cable
Wednesday,Main Workout,Bird Dog,3,10 each side,45,3111,"Core stability and spinal control - opposite arm/leg",Mat
Wednesday,Main Workout,Russian Twist (Weighted),4,20 total reps,45,Controlled,"Rotational ab work - feet elevated for intensity. SUB: Standing Cable Twist",Medicine Ball/DB
Wednesday,Bonus (Optional),Straight-Arm Lat Pulldown,3,15,60,2021,Lat isolation and shoulder stability,Cable
Wednesday,Bonus (Optional),Farmer's Carry,3,40-60 sec,90,Walk,"Grip strength and core stability. SUB: Static Hold with heavy DBs",Dumbbells
Wednesday,Bonus (Optional),Cable Woodchop Low-to-High,3,12 each side,45,2010,"Golf-specific rotation - opposite of Monday. SUB: Medicine Ball Rotational Throw",Cable
Wednesday,Bonus (Optional),Hanging L-Sit Hold,3,15-30 sec,60,Hold,"Advanced core and hip flexor strength. SUB: Hanging Knee Hold",Pull-up Bar
Wednesday,Bonus (Optional),Upper Back and Lat Stretch,1,60 sec each,0,Hold,"Child's pose, lat stretch on post, doorway stretch",Mat/Doorway
