Day,Phase,Exercise,Sets,Reps,Rest_Seconds,Tempo,Notes_Substitutes,Equipment
Friday,Pre-Workout Stretch,Cat-Cow to Child's Pose Flow,2,8 reps,0,Flowing,Spinal mobility and breathing preparation,Mat
Friday,Pre-Workout Stretch,Thoracic Rotation (Quadruped),2,10 each side,0,Smooth,Rotational mobility for golf swing,Mat
Friday,Pre-Workout Stretch,Hip Circles (Standing),2,10 each direction per leg,0,Controlled,Hip joint mobility and balance,Bodyweight
Friday,Pre-Workout Stretch,Arm Circles with Torso Lean,2,8 each direction,0,Dynamic,Shoulder and oblique warmup,Bodyweight
Friday,Pre-Workout Stretch,Marching High Knees,2,20 total,0,Controlled,Core activation and hip flexor warmup,Bodyweight
Friday,Main Workout,Cable Pallof Press (Anti-Rotation),4,12 each side,60,2120,"Core stability - resist rotation. SUB: Band Pallof Press",Cable
Friday,Main Workout,Cable Woodchop High-to-Low,4,10 each side,60,2010,"Golf downswing pattern. SUB: Medicine Ball Slam diagonal",Cable
Friday,Main Workout,Cable Woodchop Low-to-High,4,10 each side,60,2010,"Golf backswing pattern. SUB: Medicine Ball Overhead Throw",Cable
Friday,Main Workout,Bicycle Crunches,4,20 total,45,Controlled,"Rotational ab definition. SUB: Standing Cable Oblique Crunch",Bodyweight
Friday,Main Workout,Plank to Down Dog (Pike),3,12 reps,45,Controlled,Dynamic core and shoulder stability,Mat
Friday,Main Workout,Hanging Leg Raises,3,10-15,60,2011,"Lower ab focus - slow control. SUB: Lying Leg Raises",Pull-up Bar
Friday,Main Workout,Landmine Rotation (Single-Arm),3,12 each side,45,2010,"Rotational power with load. SUB: Cable Rotation standing",Landmine/Barbell
Friday,Main Workout,Copenhagen Plank,3,20-30 sec each,45,Hold,"Adductor strength and lateral stability. SUB: Side Plank with Leg Lift",Bench
Friday,Main Workout,Turkish Get-Up (Light Weight),3,3 each side,90,Slow,"Full-body coordination and core control. SUB: Windmill Stretch with KB",Kettlebell/DB
Friday,Bonus (Optional),Elliptical or Incline Walk,1,15 min,0,Steady,Low-impact cardio for recovery,Elliptical/Treadmill
Friday,Bonus (Optional),Foam Roll Full Body,1,10 min,0,Slow,"Hit quads, hamstrings, glutes, back, lats, calves",Foam Roller
Friday,Bonus (Optional),Downward Dog to Cobra Flow,2,8 reps,0,Flowing,Full spinal mobility and shoulder stretch,Mat
Friday,Bonus (Optional),Pigeon Pose + Supine Figure-4,1,90 sec each side,0,Hold,Deep hip opening,Mat
Friday,Bonus (Optional),Prone Scorpion Stretch,1,10 each side,0,Controlled,Thoracic rotation and hip mobility combination,Mat
