Day,Phase,Exercise,Sets,Reps,Rest_Seconds,Tempo,Notes_Substitutes,Equipment
Monday,Pre-Workout Stretch,World's Greatest Stretch,2,5 each side,0,Slow,"Hip flexor + thoracic rotation opener, hold each position 3 sec",Bodyweight
Monday,Pre-Workout Stretch,Arm Circles (Forward/Backward),2,10 each direction,0,Controlled,Shoulder warmup for pressing movements,Bodyweight
Monday,Pre-Workout Stretch,Cat-Cow Spine Waves,2,10 reps,0,Smooth,Spinal mobility and core activation,Bodyweight
Monday,Pre-Workout Stretch,Scapular Wall Slides,2,12 reps,0,Controlled,Shoulder blade activation before pressing,Wall
Monday,Pre-Workout Stretch,Standing Torso Rotations,2,10 each side,0,Smooth,Golf-specific rotational warmup - hands on club or PVC,Bodyweight
Monday,Main Workout,Incline Chest Press Machine,4,8-10,90,3010,"Primary push - safer for shoulders than flat. SUB: Incline DB Press",Machine
Monday,Main Workout,Standing Cable Chest Fly,3,12-15,60,2020,"Horizontal adduction for pec development. SUB: Pec Deck Machine",Cable
Monday,Main Workout,Seated Overhead Press Machine,4,8-10,90,3010,"Vertical push for shoulders. SUB: DB Shoulder Press seated",Machine
Monday,Main Workout,Cable Lateral Raise,3,12-15,60,2011,"Medial deltoid isolation. SUB: DB Lateral Raise",Cable
Monday,Main Workout,Tricep Rope Pushdown,3,12-15,60,2011,"Elbow extension. SUB: Overhead Cable Tricep Extension",Cable
Monday,Main Workout,Cable Pallof Press,3,10 each side,45,2120,"Anti-rotation core - hold cable at chest, press out. SUB: Band Pallof Press",Cable
Monday,Main Workout,Cable Woodchop High-to-Low,3,12 each side,45,2010,"Rotational power for golf swing. SUB: Medicine Ball Slam diagonal",Cable
Monday,Main Workout,Decline Sit-Up or Weighted Crunch,4,15-20,45,2011,"Direct ab work for visible definition. SUB: Cable Crunch kneeling",Bench/Machine
Monday,Main Workout,Plank with Shoulder Taps,3,20 total taps,45,Controlled,Anti-rotation and core stability,Mat
Monday,Bonus (Optional),Face Pulls,3,15-20,45,2021,"Rear delt and upper back health. SUB: Reverse Pec Deck",Cable
Monday,Bonus (Optional),Incline DB Chest Fly,2,12-15,60,3020,Additional chest volume with stretch emphasis,Dumbbells
Monday,Bonus (Optional),Hanging Knee Raises,3,12-15,60,2011,"Lower ab focus. SUB: Lying Leg Raises if no pull-up bar",Pull-up Bar
Monday,Bonus (Optional),Dead Bug,2,10 each side,30,Slow,Core stability and coordination,Mat
Monday,Bonus (Optional),Chest and Shoulder Static Stretch,1,60 sec each,0,Hold,"Doorway pec stretch, cross-body shoulder stretch, tricep stretch",Doorway/Wall
