Day,Phase,Exercise,Sets,Reps,Rest_Seconds,Tempo,Notes_Substitutes,Equipment
Thursday,Pre-Workout Stretch,Inchworm to Push-Up,2,6 reps,0,Controlled,Full body dynamic warmup - hamstring and shoulder mobility,Bodyweight
Thursday,Pre-Workout Stretch,Spiderman Lunge with Rotation,2,6 each side,0,Smooth,"Hip flexor, thoracic spine, and hamstring opener",Bodyweight
Thursday,Pre-Workout Stretch,Hip Hinge Practice (Unweighted),2,10 reps,0,Controlled,Reinforce proper hinge pattern before loading,Bodyweight
Thursday,Pre-Workout Stretch,Arm Swings (Across Body),2,10 each,0,Dynamic,Shoulder mobility and blood flow,Bodyweight
Thursday,Pre-Workout Stretch,Leg Swings (Forward/Lateral),2,10 each leg,0,Dynamic,Hip mobility prep for full body work,Bodyweight/Wall Support
Thursday,Main Workout,Trap Bar Deadlift or Smith Machine Deadlift,4,6-8,120,3110,"Primary power movement - knee-safe hinge. SUB: Sumo Deadlift on Smith",Smith/Trap Bar
Thursday,Main Workout,Goblet Squat (Slow Eccentric),3,10-12,90,5010,"Mobility-focused squat with load. SUB: Front Squat on Smith Machine",Dumbbell
Thursday,Main Workout,Single-Leg Romanian Deadlift (DB),3,8 each leg,60,3110,"Balance and posterior chain. SUB: Single-Leg Leg Press",Dumbbells
Thursday,Main Workout,Landmine Press (or DB Arnold Press),3,10 each arm,60,3010,"Rotational shoulder strength. SUB: Single-Arm DB Overhead Press",Landmine/DB
Thursday,Main Workout,Cable Row to Rotation,3,10 each side,60,2011,"Pull + rotate for golf-specific power. SUB: DB Row with Rotation",Cable
Thursday,Main Workout,Medicine Ball Rotational Slam,3,8 each side,60,Explosive,"Power development - slam from golf backswing position. SUB: Cable Chop explosive",Medicine Ball
Thursday,Main Workout,TRX or Suspension Row,3,12-15,60,2011,"Bodyweight pull with core engagement. SUB: Inverted Row on Smith Machine",TRX/Smith
Thursday,Main Workout,Ab Wheel Rollout (or Stability Ball),3,10-12,60,3010,"Anti-extension core strength. SUB: Plank Walk-Outs",Ab Wheel/Ball
Thursday,Main Workout,Side Plank with Rotation,3,8 each side,45,Controlled,Rotational core control and oblique strength,Mat
Thursday,Bonus (Optional),Yoga Flow Sequence,2,5 min,0,Flowing,"Down dog → Low lunge → Warrior 2 → Triangle → Repeat other side",Mat
Thursday,Bonus (Optional),Deep Squat Hold (Goblet),2,60-90 sec,60,Hold,Hip and ankle mobility under light load,Dumbbell
Thursday,Bonus (Optional),Thoracic Extension (Foam Roller),1,10 reps,0,Controlled,Upper back mobility for golf posture,Foam Roller
Thursday,Bonus (Optional),Hip 90/90 Stretch (Loaded),1,60 sec each,0,Hold,Deep hip mobility with light DB for pressure,Dumbbell/Mat
Thursday,Bonus (Optional),Standing Figure-4 Stretch,1,45 sec each,0,Hold,Glute and hip external rotator stretch,Bodyweight
