Day,Phase,Activity,Duration,Intensity,Notes_Substitutes,Equipment
Sunday,Rest Day,Complete Rest or Very Light Activity,N/A,N/A,Primary recovery day - no structured workout,N/A
Sunday,Optional Activity,Light Walk (Outdoor if possible),20-30 min,Easy pace,"Fresh air and movement without stress - optional",N/A
Sunday,Optional Activity,Gentle Yoga or Stretching,15-20 min,Restorative,"Focus on breath and relaxation, not intensity - yin yoga style",Mat
Sunday,Optional Activity,Meditation or Breathing Practice,5-10 min,Calm,Mental recovery and stress management,N/A
Sunday,Recovery Protocol,Hydration Focus,All day,N/A,"Drink 100+ oz water, consider electrolytes if heavily trained during week",N/A
Sunday,Recovery Protocol,Nutrition Priority,All day,N/A,"High protein (180-200g), adequate carbs for glycogen replenishment, healthy fats",N/A
Sunday,Recovery Protocol,Sleep Goal,8-9 hours,N/A,Prioritize sleep quality - aim for bed early Sunday night for Monday energy,N/A
Sunday,Optional,Golf Practice (Non-Physical),30-60 min,Mental,"Putting practice, visualization, course management study - no full swings",Putter only
Sunday,Optional,Foam Rolling,10 min,Light pressure,Full body maintenance rolling - gentle and restorative,Foam Roller
Sunday,Optional,Contrast Shower,5 min,Alternating,"Alternate hot (2 min) and cold (1 min) water for recovery - end on cold",Shower
