Day,Phase,Exercise,Sets,Reps,Rest_Seconds,Tempo,Notes_Substitutes,Equipment
Tuesday,Pre-Workout Stretch,90/90 Hip Stretch,2,30 sec each side,0,Hold,Internal and external hip rotation mobility,Mat
Tuesday,Pre-Workout Stretch,Standing Quad Stretch with Reach,2,30 sec each side,0,Hold,Hip flexor and quad opener - reach overhead,Bodyweight
Tuesday,Pre-Workout Stretch,Cossack Squat,2,8 each side,0,Controlled,Lateral hip mobility and adductor stretch,Bodyweight
Tuesday,Pre-Workout Stretch,Glute Bridge Pulses,2,15 reps,0,Controlled,Glute activation before loading,Bodyweight
Tuesday,Pre-Workout Stretch,Ankle Circles + Calf Raises,2,10 each,0,Smooth,Lower leg prep for squat/lunge patterns,Bodyweight
Tuesday,Main Workout,Leg Press (Feet Mid-Platform),4,10-12,90,3010,"Primary leg builder - keep knees tracking over toes. SUB: Smith Machine Squat",Machine
Tuesday,Main Workout,Romanian Deadlift (Smith Machine or DB),4,10-12,90,3110,"Hamstring and glute focus - hinge pattern. SUB: Lying Leg Curl Machine",Smith/DB
Tuesday,Main Workout,Bulgarian Split Squat (DB),3,10 each leg,60,3010,"Unilateral strength and balance - rear foot elevated. SUB: Walking Lunges",Dumbbells
Tuesday,Main Workout,Leg Extension Machine,3,12-15,60,2012,"Quad isolation - avoid locking out fully for knee safety. SUB: Goblet Squat",Machine
Tuesday,Main Workout,Seated or Lying Leg Curl,3,12-15,60,2012,"Hamstring isolation. SUB: Stability Ball Hamstring Curl",Machine
Tuesday,Main Workout,Cable Hip Abduction,3,15 each leg,45,2011,"Glute medius for hip stability. SUB: Lateral Band Walks",Cable/Band
Tuesday,Main Workout,Single-Leg Glute Bridge,3,12 each leg,45,2021,Glute isolation and hip stability - squeeze at top,Bodyweight
Tuesday,Main Workout,Standing Calf Raises (Smith Machine),4,15-20,60,2012,"Calf development and ankle stability. SUB: Seated Calf Raise Machine",Smith/Machine
Tuesday,Main Workout,Copenhagen Plank (or Side Plank),3,20-30 sec each,45,Hold,"Adductor and lateral core strength. SUB: Standard side plank",Bench
Tuesday,Bonus (Optional),Goblet Squat Hold,3,30-45 sec,60,Hold,Hip and ankle mobility with load - deep squat position,Dumbbell
Tuesday,Bonus (Optional),Step-Ups (DB),3,12 each leg,60,Controlled,"Single leg power. SUB: Box Squats",Bench/DB
Tuesday,Bonus (Optional),Seated Hip Flexor Stretch,1,60 sec each,0,Hold,Release hip flexor tightness from sitting,Mat
Tuesday,Bonus (Optional),Pigeon Pose,1,60 sec each,0,Hold,Deep hip opener for external rotation,Mat
Tuesday,Bonus (Optional),Standing Hamstring Stretch,1,45 sec each,0,Hold,Post-workout hamstring mobility,Bodyweight
